qValue,qlong
101,Country
102,Which department do you work in?
110,European region
104,Industry sector
105,Number of BI & analytics product users
106,Number of BI & analytics users
107,Number of employees
108,Percentage of BI & analytics users in company
109,Position in company
103,Region
111,Which products has your organization acquired?
112,With which product are you most familiar?
113,Which products has your organization evaluated?
303,What were the reasons for replacing/abolishing the BI & analytics system(s)?
114,Why was the product chosen?
304,Has your organization replaced/abolished BI & analytics systems in the last 12 months?
115,Did your organization conduct a formal product selection?
243,How would you rate the vendor's ability to keep marketing/sales promises?
242,How would you rate the vendor's general conduct during the purchasing process?
241,How would you rate the vendor's understanding of your industry-specific requirements during the purchasing process?
240,How flexible was the vendor in terms of pricing and contract?
237,How would you rate your experience with the vendor when evaluating the product and during contract negotiation?
239,How would you rate the vendor's ability to understand your organization's needs?
238,How timely and thorough were the vendor's responses to product-related and technical questions you had?
116,How do you rate the level of satisfaction with the implementation of the business aspects?
117,How long did it take to implement the BI & analytics software?
118,How do you rate the level of completion within the budget originally specified?
119,How do you rate the level of completion within the timeframe originally specified?
120,How do you rate the level of satisfaction with the implementation of the technical aspects?
190,How do you rate the level of satisfaction with the staff assigned?
122,When did your company start using the product?
123,What is the amount of data in the databases used with your product?
127,Please indicate the front-end products you use with SAP BW?
128,How would you rate the price-to-value of your BI & analytics product?
129,What is the typical query response time that end users see?
130,Would you recommend others to buy your BI & analytics product?
166,To what degree are you satisfied with your BI & analytics product?
131,Which tasks are carried out by business users in your company with your BI & analytics tool? 
132,What are the most serious problems you have encountered in using the product?
133,How do you rate the support provided by the implementer?
134,How do you rate the support provided by the vendor?
138,Do you use or plan to use the application for advanced analytics?
139,Do you use or plan to use the application for analysis?
140,"Do you use or plan to use the application for planning, budgeting and forecasting?"
141,Do you use or plan to use the application for dashboards/BI applications?
142,Do you use or plan to use the application for financial consolidation?
143,Do you use or plan to use the application for reporting?
171,How would you rate the capabilities of your BI & analytics product for creating dashboards/reports?
172,How would you rate the capabilities of your BI & analytics product for the distribution of content such as reports and dashboards?
174,"How would you rate the capabilities of your BI & analytics product for planning, budgeting and forecasting?"
175,How would you rate the capabilities of your BI & analytics product to create ad hoc queries / perform analyses?
176,How would you rate the capabilities of your BI & analytics product for advanced & predictive analytics?
177,How would you rate the capabilities of your BI & analytics product for data preparation?
178,How would you rate the capabilities of your BI & analytics product for viewing reports and navigating dashboards?
179,How would you rate the ease of use of your BI & analytics product for content creators?
180,How would you rate the ease of use of your BI & analytics product for content consumers?
181,How would you rate the ease of use of your BI & analytics product for data modeling and preparation?
182,How would you rate the flexibility of your BI & analytics product for adapting the software?
183,How would you rate the flexibility of your BI & analytics product for content creation?
184,How would you rate the flexibility of your BI & analytics product for data modeling and connectivity?
185,How would you rate the capabilities of your BI & analytics product for mobile BI?
144,"To what extent has the accuracy of your reporting, analysis or planning improved?"
145,To what extent do you now make better business decisions through better analysis?
146,To what extent has your competitive advantage increased?
147,To what extent have you reduced costs? (IT or non-IT)
148,To what extent has your customer satisfaction improved ?
149,To what extent has your data quality improved?
150,To what extent has your employee satisfaction improved?
151,"To what extent has your reporting, analysis or planning become faster?"
152,To what extent have you saved on headcount in business departments or IT?
153,To what extent have your revenues increased?
154,To what extent has your operational efficiency improved?
155,Does your company use your BI & analytics tool with real-time data?
156,Does your company use cloud BI with your BI & analytics tool?
160,Does your company use your BI & analytics tool for embedded BI?
164,Does your company use your BI & analytics tool for visual analysis?
165,Does your company use your BI & analytics tool for intelligent insights?
